scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,INDBDL,2026,0.0421384635444636
Mitigation_CAP21_A25E65,INDBDL,2027,0.0477090123751796
Mitigation_CAP21_A25E65,INDBDL,2028,0.0533552689187259
Mitigation_CAP21_A25E65,INDBDL,2029,0.0590799555552716
Mitigation_CAP21_A25E65,INDBDL,2030,0.0648858829908765
Mitigation_CAP21_A25E65,INDBDL,2031,0.0729534622404323
Mitigation_CAP21_A25E65,INDBDL,2032,0.0811386153804227
Mitigation_CAP21_A25E65,INDBDL,2033,0.089445574473762
Mitigation_CAP21_A25E65,INDBDL,2034,0.09787870997743339
Mitigation_CAP21_A25E65,INDBDL,2035,0.1064425350498093
Mitigation_CAP21_A25E65,INDBDL,2036,0.115141710078263
Mitigation_CAP21_A25E65,INDBDL,2037,0.1239810473166124
Mitigation_CAP21_A25E65,INDBDL,2038,0.1329655156791333
Mitigation_CAP21_A25E65,INDBDL,2039,0.1421002456798105
Mitigation_CAP21_A25E65,INDBDL,2040,0.1513905345907444
Mitigation_CAP21_A25E65,INDBDL,2041,0.1608418517426547
Mitigation_CAP21_A25E65,INDBDL,2042,0.1704598439666235
Mitigation_CAP21_A25E65,INDBDL,2043,0.1802503413370194
Mitigation_CAP21_A25E65,INDBDL,2044,0.1902193630028449
Mitigation_CAP21_A25E65,INDBDL,2045,0.2003731232879717
Mitigation_CAP21_A25E65,INDBDL,2046,0.2107180380115524
Mitigation_CAP21_A25E65,INDBDL,2047,0.2212607309608011
Mitigation_CAP21_A25E65,INDBDL,2048,0.2320080407688592
Mitigation_CAP21_A25E65,INDBDL,2049,0.2429670278556187
Mitigation_CAP21_A25E65,INDBDL,2050,0.254144981755691
Mitigation_CAP21_A25E65,INDBGS,2025,0.6091293927260746
Mitigation_CAP21_A25E65,INDBGS,2026,1.0989902534520999
Mitigation_CAP21_A25E65,INDBGS,2027,1.2442726951072358
Mitigation_CAP21_A25E65,INDBGS,2028,1.391529628272337
Mitigation_CAP21_A25E65,INDBGS,2029,1.5408320538577476
Mitigation_CAP21_A25E65,INDBGS,2030,1.6922532763531213
Mitigation_CAP21_A25E65,INDBGS,2031,1.902659404589346
Mitigation_CAP21_A25E65,INDBGS,2032,2.116131913248102
Mitigation_CAP21_A25E65,INDBGS,2033,2.3327811764508883
Mitigation_CAP21_A25E65,INDBGS,2034,2.552721177699267
Mitigation_CAP21_A25E65,INDBGS,2035,2.776069622211949
Mitigation_CAP21_A25E65,INDBGS,2036,3.002948055006628
Mitigation_CAP21_A25E65,INDBGS,2037,3.2334819818468983
Mitigation_CAP21_A25E65,INDBGS,2038,3.467800994272242
Mitigation_CAP21_A25E65,INDBGS,2039,3.7060388984157404
Mitigation_CAP21_A25E65,INDBGS,2040,3.9483338495379314
Mitigation_CAP21_A25E65,INDBGS,2041,4.194828490266203
Mitigation_CAP21_A25E65,INDBGS,2042,4.445670092517911
Mitigation_CAP21_A25E65,INDBGS,2043,4.558057091436541
Mitigation_CAP21_A25E65,INDBGS,2044,4.370185148522147
Mitigation_CAP21_A25E65,INDBGS,2045,4.546425843668742
Mitigation_CAP21_A25E65,INDBGS,2046,5.364441573020901
Mitigation_CAP21_A25E65,INDBGS,2047,4.980761535308924
Mitigation_CAP21_A25E65,INDBGS,2048,4.692599761208612
Mitigation_CAP21_A25E65,INDBGS,2049,4.180871434021259
Mitigation_CAP21_A25E65,INDBGS,2050,4.0870889970760595
Mitigation_CAP21_A25E65,INDBKE,2025,0.002192034216472207
Mitigation_CAP21_A25E65,INDBKE,2026,0.0025209189124071347
Mitigation_CAP21_A25E65,INDBKE,2027,0.002854175056998344
Mitigation_CAP21_A25E65,INDBKE,2028,0.003191960389154807
Mitigation_CAP21_A25E65,INDBKE,2029,0.00353443777432203
Mitigation_CAP21_A25E65,INDBKE,2030,0.0038817753620115705
Mitigation_CAP21_A25E65,INDBKE,2031,0.004364415482150056
Mitigation_CAP21_A25E65,INDBKE,2032,0.004854089419353909
Mitigation_CAP21_A25E65,INDBKE,2033,0.005351050355314279
Mitigation_CAP21_A25E65,INDBKE,2034,0.005855559751099141
Mitigation_CAP21_A25E65,INDBKE,2043,0.010783413922172169
Mitigation_CAP21_A25E65,INDBKE,2044,0.011379807172938046
Mitigation_CAP21_A25E65,INDBKE,2045,0.011987252347293347
Mitigation_CAP21_A25E65,INDBKE,2046,0.01260613326938519
Mitigation_CAP21_A25E65,INDBKE,2047,0.013236846204976638
Mitigation_CAP21_A25E65,INDBKE,2048,0.01387980027291609
Mitigation_CAP21_A25E65,INDBKE,2049,0.014535417860365224
Mitigation_CAP21_A25E65,INDBKE,2050,0.015204135061195542
Mitigation_CAP21_A25E65,INDCOK,2018,0.4106607649304995
Mitigation_CAP21_A25E65,INDCOK,2019,0.4039710656250019
Mitigation_CAP21_A25E65,INDCOK,2020,0.4062079802229178
Mitigation_CAP21_A25E65,INDCOK,2021,0.4085346379401125
Mitigation_CAP21_A25E65,INDCOK,2022,0.4109187488665859
Mitigation_CAP21_A25E65,INDCOK,2023,0.41336173308975127
Mitigation_CAP21_A25E65,INDCOK,2024,0.4158650454635334
Mitigation_CAP21_A25E65,INDCOK,2025,0.4184301767896934
Mitigation_CAP21_A25E65,INDCOK,2026,0.4210586545508077
Mitigation_CAP21_A25E65,INDCOK,2027,0.4237520439031067
Mitigation_CAP21_A25E65,INDCOK,2028,0.4265119485509428
Mitigation_CAP21_A25E65,INDCOK,2029,0.4293400117711729
Mitigation_CAP21_A25E65,INDCOK,2030,0.432237917465449
Mitigation_CAP21_A25E65,INDCOK,2031,0.4352061243781304
Mitigation_CAP21_A25E65,INDCOK,2032,0.4382478215284334
Mitigation_CAP21_A25E65,INDCOK,2033,0.4413648388004971
Mitigation_CAP21_A25E65,INDCOK,2034,0.4445590524198961
Mitigation_CAP21_A25E65,INDCOK,2035,0.4478323860025721
Mitigation_CAP21_A25E65,INDCOK,2036,0.4511868120349843
Mitigation_CAP21_A25E65,INDCOK,2037,0.4546243531867609
Mitigation_CAP21_A25E65,INDCOK,2038,0.458147083687511
Mitigation_CAP21_A25E65,INDCOK,2039,0.46223378322745523
Mitigation_CAP21_A25E65,INDCOK,2040,0.46593714736184744
Mitigation_CAP21_A25E65,INDCOK,2041,0.4697323422109864
Mitigation_CAP21_A25E65,INDCOK,2042,0.4736216654823063
Mitigation_CAP21_A25E65,INDCOK,2043,0.4776074743561422
Mitigation_CAP21_A25E65,INDCOK,2044,0.48169218707805783
Mitigation_CAP21_A25E65,INDCOK,2045,0.4858782847978785
Mitigation_CAP21_A25E65,INDCOK,2046,0.4901683134718302
Mitigation_CAP21_A25E65,INDCOK,2047,0.4945648856589388
Mitigation_CAP21_A25E65,INDCOK,2048,0.4990706827831709
Mitigation_CAP21_A25E65,INDCOK,2049,0.5036884570338037
Mitigation_CAP21_A25E65,INDCOK,2050,0.5078967531218687
Mitigation_CAP21_A25E65,INDDST,2018,0.20548934792264179
Mitigation_CAP21_A25E65,INDDST,2019,0.2021419087088708
Mitigation_CAP21_A25E65,INDDST,2020,0.2032612319102534
Mitigation_CAP21_A25E65,INDDST,2021,0.2044254614105483
