scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,INDBDL,2026,0.1143727658311766
Mitigation_CAP21_A25E65,INDBDL,2027,0.1217812396777271
Mitigation_CAP21_A25E65,INDBDL,2028,0.127946616206946
Mitigation_CAP21_A25E65,INDBDL,2029,0.13287211731780219
Mitigation_CAP21_A25E65,INDBDL,2030,0.1366258109262366
Mitigation_CAP21_A25E65,INDBDL,2031,0.1435419539509354
Mitigation_CAP21_A25E65,INDBDL,2032,0.1488349627845837
Mitigation_CAP21_A25E65,INDBDL,2033,0.1525338964480426
Mitigation_CAP21_A25E65,INDBDL,2034,0.1546735484504944
Mitigation_CAP21_A25E65,INDBDL,2035,0.1553428599137476
Mitigation_CAP21_A25E65,INDBDL,2036,0.1546159702736313
Mitigation_CAP21_A25E65,INDBDL,2037,0.1525720427046529
Mitigation_CAP21_A25E65,INDBDL,2038,0.1492821358016189
Mitigation_CAP21_A25E65,INDBDL,2039,0.1448579031445483
Mitigation_CAP21_A25E65,INDBDL,2040,0.1393928281706147
Mitigation_CAP21_A25E65,INDBDL,2041,0.1329638349029919
Mitigation_CAP21_A25E65,INDBDL,2042,0.125676213912483
Mitigation_CAP21_A25E65,INDBDL,2043,0.1176531055917912
Mitigation_CAP21_A25E65,INDBDL,2044,0.1090868683682203
Mitigation_CAP21_A25E65,INDBDL,2045,0.1000887777849974
Mitigation_CAP21_A25E65,INDBDL,2046,0.0907531031200268
Mitigation_CAP21_A25E65,INDBDL,2047,0.0812141203878777
Mitigation_CAP21_A25E65,INDBDL,2048,0.0715883040884927
Mitigation_CAP21_A25E65,INDBDL,2049,0.0620612388816113
Mitigation_CAP21_A25E65,INDBDL,2050,0.0527223783542998
Mitigation_CAP21_A25E65,INDBGS,2025,0.026416646293307214
Mitigation_CAP21_A25E65,INDBGS,2026,0.0487136150693475
Mitigation_CAP21_A25E65,INDBGS,2027,0.0518690300896057
Mitigation_CAP21_A25E65,INDBGS,2028,0.054494985462979
Mitigation_CAP21_A25E65,INDBGS,2029,0.0565928534597369
Mitigation_CAP21_A25E65,INDBGS,2030,0.058191625546786696
Mitigation_CAP21_A25E65,INDBGS,2031,0.0611373471669764
Mitigation_CAP21_A25E65,INDBGS,2032,0.063391743945853
Mitigation_CAP21_A25E65,INDBGS,2033,0.0649671926931074
Mitigation_CAP21_A25E65,INDBGS,2034,0.0658785126500246
Mitigation_CAP21_A25E65,INDBGS,2035,0.0661635855932681
Mitigation_CAP21_A25E65,INDBGS,2036,0.0658539889697262
Mitigation_CAP21_A25E65,INDBGS,2037,0.0649834399355983
Mitigation_CAP21_A25E65,INDBGS,2038,0.0635822037468631
Mitigation_CAP21_A25E65,INDBGS,2039,0.0616978358637617
Mitigation_CAP21_A25E65,INDBGS,2040,0.0593701527245933
Mitigation_CAP21_A25E65,INDBGS,2041,0.0566319177868743
Mitigation_CAP21_A25E65,INDBGS,2042,0.0535279763798175
Mitigation_CAP21_A25E65,INDBGS,2043,0.0458833947138678
Mitigation_CAP21_A25E65,INDBGS,2044,0.0423550929458101
Mitigation_CAP21_A25E65,INDBGS,2045,0.0370723387267293
Mitigation_CAP21_A25E65,INDBGS,2046,0.0319368285296577
Mitigation_CAP21_A25E65,INDBGS,2047,0.0297375397018421
Mitigation_CAP21_A25E65,INDBGS,2048,0.0263070767628287
Mitigation_CAP21_A25E65,INDBGS,2049,0.022870112077821886
Mitigation_CAP21_A25E65,INDBGS,2050,0.0224530232022802
Mitigation_CAP21_A25E65,INDBKE,2025,0.0017742168466649765
Mitigation_CAP21_A25E65,INDBKE,2026,0.001920018611967266
Mitigation_CAP21_A25E65,INDBKE,2027,0.002044387447225187
Mitigation_CAP21_A25E65,INDBKE,2028,0.002147887940545129
Mitigation_CAP21_A25E65,INDBKE,2029,0.0022305741791558654
Mitigation_CAP21_A25E65,INDBKE,2030,0.0022935888447490923
Mitigation_CAP21_A25E65,INDBKE,2031,0.0024096927374368765
Mitigation_CAP21_A25E65,INDBKE,2032,0.0024985484663341173
Mitigation_CAP21_A25E65,INDBKE,2033,0.0025606438561468123
Mitigation_CAP21_A25E65,INDBKE,2034,0.002596562998592865
Mitigation_CAP21_A25E65,INDBKE,2043,0.001975086908586582
Mitigation_CAP21_A25E65,INDBKE,2044,0.0018312822643231457
Mitigation_CAP21_A25E65,INDBKE,2045,0.0016802279353805747
Mitigation_CAP21_A25E65,INDBKE,2046,0.0015235064555619076
Mitigation_CAP21_A25E65,INDBKE,2047,0.0013633719667973518
Mitigation_CAP21_A25E65,INDBKE,2048,0.001201779770299441
Mitigation_CAP21_A25E65,INDBKE,2049,0.001041845345511274
Mitigation_CAP21_A25E65,INDBKE,2050,0.0008850703834239304
Mitigation_CAP21_A25E65,INDDST,2018,0.8636462186149669
Mitigation_CAP21_A25E65,INDDST,2019,0.8598497176503328
Mitigation_CAP21_A25E65,INDDST,2020,0.7566288419856593
Mitigation_CAP21_A25E65,INDDST,2021,0.7494129527858769
Mitigation_CAP21_A25E65,INDDST,2022,0.7100495896666573
Mitigation_CAP21_A25E65,INDDST,2023,0.6728286332640794
Mitigation_CAP21_A25E65,INDDST,2024,0.6375157126357632
Mitigation_CAP21_A25E65,INDDST,2025,0.6039289312019736
Mitigation_CAP21_A25E65,INDDST,2026,0.4574636344873983
Mitigation_CAP21_A25E65,INDDST,2027,0.4194427539699889
Mitigation_CAP21_A25E65,INDDST,2028,0.3838153013300919
Mitigation_CAP21_A25E65,INDDST,2029,0.3502760435866334
Mitigation_CAP21_A25E65,INDDST,2030,0.31877171512460667
Mitigation_CAP21_A25E65,INDDST,2031,0.2849209389282997
Mitigation_CAP21_A25E65,INDDST,2032,0.2534023995794174
Mitigation_CAP21_A25E65,INDDST,2033,0.2240749438550182
Mitigation_CAP21_A25E65,INDDST,2034,0.1968572434824477
Mitigation_CAP21_A25E65,INDDST,2035,0.1716947399046688
Mitigation_CAP21_A25E65,INDDST,2036,0.1485525988903517
