scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,INDBDL,2026,0.009699969360828715
Mitigation_CAP21_A25E65,INDBDL,2027,0.011168451216534276
Mitigation_CAP21_A25E65,INDBDL,2028,0.012700856874114406
Mitigation_CAP21_A25E65,INDBDL,2029,0.014299506161221194
Mitigation_CAP21_A25E65,INDBDL,2030,0.015966773623679324
Mitigation_CAP21_A25E65,INDBDL,2031,0.0182500279307652
Mitigation_CAP21_A25E65,INDBDL,2032,0.020632630889383
Mitigation_CAP21_A25E65,INDBDL,2033,0.0231181826314233
Mitigation_CAP21_A25E65,INDBDL,2034,0.0257103543461229
Mitigation_CAP21_A25E65,INDBDL,2035,0.0284129922440137
Mitigation_CAP21_A25E65,INDBDL,2036,0.031229996180080998
Mitigation_CAP21_A25E65,INDBDL,2037,0.0341654684943156
Mitigation_CAP21_A25E65,INDBDL,2038,0.0372235969998041
Mitigation_CAP21_A25E65,INDBDL,2039,0.0404087376135711
Mitigation_CAP21_A25E65,INDBDL,2040,0.0437253265617736
Mitigation_CAP21_A25E65,INDBDL,2041,0.047178034428971
Mitigation_CAP21_A25E65,INDBDL,2042,0.050771595495726296
Mitigation_CAP21_A25E65,INDBDL,2043,0.0545109711345212
Mitigation_CAP21_A25E65,INDBDL,2044,0.0584012279662677
Mitigation_CAP21_A25E65,INDBDL,2045,0.0624476507845652
Mitigation_CAP21_A25E65,INDBDL,2046,0.0666556302391068
Mitigation_CAP21_A25E65,INDBDL,2047,0.07103078366727
Mitigation_CAP21_A25E65,INDBDL,2048,0.07557886036460951
Mitigation_CAP21_A25E65,INDBDL,2049,0.0803058739856685
Mitigation_CAP21_A25E65,INDBDL,2050,0.0852179761734683
Mitigation_CAP21_A25E65,INDBGS,2025,0.04300243318829587
Mitigation_CAP21_A25E65,INDBGS,2026,0.075205675114912
Mitigation_CAP21_A25E65,INDBGS,2027,0.0865910893615074
Mitigation_CAP21_A25E65,INDBGS,2028,0.0984721167896621
Mitigation_CAP21_A25E65,INDBGS,2029,0.1108667434566563
Mitigation_CAP21_A25E65,INDBGS,2030,0.1237933796600363
Mitigation_CAP21_A25E65,INDBGS,2031,0.1414958769809874
Mitigation_CAP21_A25E65,INDBGS,2032,0.1599686429628315
Mitigation_CAP21_A25E65,INDBGS,2033,0.17923959010086898
Mitigation_CAP21_A25E65,INDBGS,2034,0.1993371818113203
Mitigation_CAP21_A25E65,INDBGS,2035,0.2202912384831602
Mitigation_CAP21_A25E65,INDBGS,2036,0.2421319964208959
Mitigation_CAP21_A25E65,INDBGS,2037,0.26489126183307743
Mitigation_CAP21_A25E65,INDBGS,2038,0.2886015036171536
Mitigation_CAP21_A25E65,INDBGS,2039,0.3132964940118266
Mitigation_CAP21_A25E65,INDBGS,2040,0.3390106279074873
Mitigation_CAP21_A25E65,INDBGS,2041,0.3657801172190397
Mitigation_CAP21_A25E65,INDBGS,2042,0.39364166770840564
Mitigation_CAP21_A25E65,INDBGS,2043,0.3932037703723792
Mitigation_CAP21_A25E65,INDBGS,2044,0.3160888033311734
Mitigation_CAP21_A25E65,INDBGS,2045,0.3189858529780096
Mitigation_CAP21_A25E65,INDBGS,2046,0.4962634023490998
Mitigation_CAP21_A25E65,INDBGS,2047,0.346972710517863
Mitigation_CAP21_A25E65,INDBGS,2048,0.3347132160167162
Mitigation_CAP21_A25E65,INDBGS,2049,0.31123440425519766
Mitigation_CAP21_A25E65,INDBGS,2050,0.3314530103418357
Mitigation_CAP21_A25E65,INDBKE,2025,0.002730657315824266
Mitigation_CAP21_A25E65,INDBKE,2026,0.0031938602668960007
Mitigation_CAP21_A25E65,INDBKE,2027,0.0036773799232091846
Mitigation_CAP21_A25E65,INDBKE,2028,0.004181947449193023
Mitigation_CAP21_A25E65,INDBKE,2029,0.0047083266828643585
Mitigation_CAP21_A25E65,INDBKE,2030,0.005257299479019479
Mitigation_CAP21_A25E65,INDBKE,2031,0.00600909517438226
Mitigation_CAP21_A25E65,INDBKE,2032,0.006793602902009727
Mitigation_CAP21_A25E65,INDBKE,2033,0.007612008059274069
Mitigation_CAP21_A25E65,INDBKE,2034,0.008465519440246757
Mitigation_CAP21_A25E65,INDBKE,2043,0.0179485540974517
Mitigation_CAP21_A25E65,INDBKE,2044,0.0192294794551244
Mitigation_CAP21_A25E65,INDBKE,2045,0.0205618248040304
Mitigation_CAP21_A25E65,INDBKE,2046,0.021947365096357
Mitigation_CAP21_A25E65,INDBKE,2047,0.0233879499246162
Mitigation_CAP21_A25E65,INDBKE,2048,0.0248854723305212
Mitigation_CAP21_A25E65,INDBKE,2049,0.0264419123999447
Mitigation_CAP21_A25E65,INDBKE,2050,0.0280592956535358
Mitigation_CAP21_A25E65,INDDST,2018,0.0247886399398789
Mitigation_CAP21_A25E65,INDDST,2019,0.025383337033734
Mitigation_CAP21_A25E65,INDDST,2020,0.0421939848820303
Mitigation_CAP21_A25E65,INDDST,2021,0.0432107220157872
Mitigation_CAP21_A25E65,INDDST,2022,0.0442174269629651
Mitigation_CAP21_A25E65,INDDST,2023,0.0452490730700878
Mitigation_CAP21_A25E65,INDDST,2024,0.0463062776471234
Mitigation_CAP21_A25E65,INDDST,2025,0.0473896612070834
Mitigation_CAP21_A25E65,INDDST,2026,0.0387604145899388
Mitigation_CAP21_A25E65,INDDST,2027,0.038428721168982
Mitigation_CAP21_A25E65,INDDST,2028,0.0380612334152718
Mitigation_CAP21_A25E65,INDDST,2029,0.0376563887007662
Mitigation_CAP21_A25E65,INDDST,2030,0.0372124995248965
Mitigation_CAP21_A25E65,INDDST,2031,0.0361833405376672
Mitigation_CAP21_A25E65,INDDST,2032,0.03508586301285261
Mitigation_CAP21_A25E65,INDDST,2033,0.0339173039558625
Mitigation_CAP21_A25E65,INDDST,2034,0.0327222691677954
Mitigation_CAP21_A25E65,INDDST,2035,0.031403833532858
Mitigation_CAP21_A25E65,INDDST,2036,0.03000529044752987
Mitigation_CAP21_A25E65,INDDST,2037,0.028523464522778
Mitigation_CAP21_A25E65,INDDST,2038,0.0269550185170996
Mitigation_CAP21_A25E65,INDDST,2039,0.0252965267987401
Mitigation_CAP21_A25E65,INDDST,2040,0.023544406610185798
Mitigation_CAP21_A25E65,INDDST,2041,0.0216950085330303
Mitigation_CAP21_A25E65,INDDST,2042,0.0197445093594493
Mitigation_CAP21_A25E65,INDDST,2043,0.0176889906330569
Mitigation_CAP21_A25E65,INDDST,2044,0.015524377054324289
Mitigation_CAP21_A25E65,INDDST,2045,0.013246471378544171
Mitigation_CAP21_A25E65,INDDST,2046,0.0108509165505524
Mitigation_CAP21_A25E65,INDDST,2047,0.008333220430238044
Mitigation_CAP21_A25E65,INDDST,2048,0.0056887314252929
Mitigation_CAP21_A25E65,INDDST,2049,0.002912648279272705
Mitigation_CAP21_A25E65,INDELC,2018,0.4454284437405628
Mitigation_CAP21_A25E65,INDELC,2019,0.4561145887511568
