scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,INDBDL,2026,0.0038028205184325835
Mitigation_CAP21_A25E65,INDBDL,2027,0.00417820012596875
Mitigation_CAP21_A25E65,INDBDL,2028,0.004528601035014146
Mitigation_CAP21_A25E65,INDBDL,2029,0.004853119241545201
Mitigation_CAP21_A25E65,INDBDL,2030,0.005150818667551844
Mitigation_CAP21_A25E65,INDBDL,2031,0.0055873609406842766
Mitigation_CAP21_A25E65,INDBDL,2032,0.0059850438445832235
Mitigation_CAP21_A25E65,INDBDL,2033,0.006342462646334455
Mitigation_CAP21_A25E65,INDBDL,2034,0.00665816785695923
Mitigation_CAP21_A25E65,INDBDL,2035,0.0069306603041561715
Mitigation_CAP21_A25E65,INDBDL,2036,0.007158391703846914
Mitigation_CAP21_A25E65,INDBDL,2037,0.007339763709993009
Mitigation_CAP21_A25E65,INDBDL,2038,0.0074731270737043685
Mitigation_CAP21_A25E65,INDBDL,2039,0.007556772460139554
Mitigation_CAP21_A25E65,INDBDL,2040,0.007588936623312857
Mitigation_CAP21_A25E65,INDBDL,2041,0.00756780194152488
Mitigation_CAP21_A25E65,INDBDL,2042,0.007491486389526051
Mitigation_CAP21_A25E65,INDBDL,2043,0.007358044660301139
Mitigation_CAP21_A25E65,INDBDL,2044,0.007165473715680481
Mitigation_CAP21_A25E65,INDBDL,2045,0.00691169478009695
Mitigation_CAP21_A25E65,INDBDL,2046,0.006594568963483771
Mitigation_CAP21_A25E65,INDBDL,2047,0.006211878297188465
Mitigation_CAP21_A25E65,INDBDL,2048,0.005761338951353378
Mitigation_CAP21_A25E65,INDBDL,2049,0.005240584833830467
Mitigation_CAP21_A25E65,INDBDL,2050,0.004647173702243833
Mitigation_CAP21_A25E65,INDBKE,2025,0.00040976961844767435
Mitigation_CAP21_A25E65,INDBKE,2026,0.000457868134535051
Mitigation_CAP21_A25E65,INDBKE,2027,0.0005030646826792239
Mitigation_CAP21_A25E65,INDBKE,2028,0.0005452537394034484
Mitigation_CAP21_A25E65,INDBKE,2029,0.0005843264605920475
Mitigation_CAP21_A25E65,INDBKE,2030,0.0006201701403494867
Mitigation_CAP21_A25E65,INDBKE,2031,0.0006727308108507964
Mitigation_CAP21_A25E65,INDBKE,2032,0.0007206127259877188
Mitigation_CAP21_A25E65,INDBKE,2033,0.0007636467527613233
Mitigation_CAP21_A25E65,INDBKE,2034,0.0008016583694419596
Mitigation_CAP21_A25E65,INDBKE,2043,0.0008859251090362514
Mitigation_CAP21_A25E65,INDBKE,2044,0.0008627391346386748
Mitigation_CAP21_A25E65,INDBKE,2045,0.0008321835806080011
Mitigation_CAP21_A25E65,INDBKE,2046,0.000794000919774537
Mitigation_CAP21_A25E65,INDBKE,2047,0.0007479241037293537
Mitigation_CAP21_A25E65,INDBKE,2048,0.0006936781542262842
Mitigation_CAP21_A25E65,INDBKE,2049,0.0006309781884546212
Mitigation_CAP21_A25E65,INDBKE,2050,0.0005595647589930542
Mitigation_CAP21_A25E65,INDDST,2018,0.0182278829952109
Mitigation_CAP21_A25E65,INDDST,2019,0.0218113873174429
Mitigation_CAP21_A25E65,INDDST,2020,0.0214569222297562
Mitigation_CAP21_A25E65,INDDST,2021,0.021079255738916402
Mitigation_CAP21_A25E65,INDDST,2022,0.0206862408485502
Mitigation_CAP21_A25E65,INDDST,2023,0.0202834663471548
Mitigation_CAP21_A25E65,INDDST,2024,0.0198706844035544
Mitigation_CAP21_A25E65,INDDST,2025,0.0194476493536496
Mitigation_CAP21_A25E65,INDDST,2026,0.0152061142618294
Mitigation_CAP21_A25E65,INDDST,2027,0.014386531161931712
Mitigation_CAP21_A25E65,INDDST,2028,0.013580879820715017
Mitigation_CAP21_A25E65,INDDST,2029,0.012789790650053996
Mitigation_CAP21_A25E65,INDDST,2030,0.012013910448965813
Mitigation_CAP21_A25E65,INDDST,2031,0.011086795360736769
Mitigation_CAP21_A25E65,INDDST,2032,0.010186353937275265
Mitigation_CAP21_A25E65,INDDST,2033,0.009313682634569333
Mitigation_CAP21_A25E65,INDDST,2034,0.008474031817948327
Mitigation_CAP21_A25E65,INDDST,2035,0.007660203494066975
Mitigation_CAP21_A25E65,INDDST,2036,0.00687767046055905
Mitigation_CAP21_A25E65,INDDST,2037,0.006127692638618044
Mitigation_CAP21_A25E65,INDDST,2038,0.005411574777510501
Mitigation_CAP21_A25E65,INDDST,2039,0.004730662434396518
