scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,PWR-BIO,2032,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2033,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2034,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2035,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2036,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2037,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2038,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2039,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2040,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2041,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2042,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2043,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2044,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2045,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2046,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2047,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2048,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2049,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO,2050,0.0165280812812165
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2037,0.064198425528608
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2038,0.195871164871669
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2039,0.218444597055004
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2040,0.318451343026529
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2041,0.477099567301534
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2042,0.573232767622807
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2043,0.625701882260354
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2044,0.678432830415165
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2045,0.699879313619894
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2046,0.699879313619894
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2047,0.752721153727604
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2048,0.78753349788855
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2049,0.871572327701769
Mitigation_CAP21_A25E65,PWR-BIO-CCS,2050,0.906878427384439
Mitigation_CAP21_A25E65,PWR-COA,2018,1.253
Mitigation_CAP21_A25E65,PWR-COA,2019,1.253
Mitigation_CAP21_A25E65,PWR-COA,2020,1.253
Mitigation_CAP21_A25E65,PWR-COA,2021,1.253
Mitigation_CAP21_A25E65,PWR-COA,2022,1.253
Mitigation_CAP21_A25E65,PWR-COA,2023,1.253
Mitigation_CAP21_A25E65,PWR-COA,2024,1.253
Mitigation_CAP21_A25E65,PWR-COA,2025,0.398
Mitigation_CAP21_A25E65,PWR-COA,2026,0.398
Mitigation_CAP21_A25E65,PWR-COA,2027,0.398
Mitigation_CAP21_A25E65,PWR-COA,2028,0.398
Mitigation_CAP21_A25E65,PWR-COA,2029,0.398
Mitigation_CAP21_A25E65,PWR-COA,2030,0.398
Mitigation_CAP21_A25E65,PWR-COA,2031,0.199
Mitigation_CAP21_A25E65,PWR-GAS,2018,4.933
Mitigation_CAP21_A25E65,PWR-GAS,2019,4.933
Mitigation_CAP21_A25E65,PWR-GAS,2020,4.933
Mitigation_CAP21_A25E65,PWR-GAS,2021,5.217070928996249
Mitigation_CAP21_A25E65,PWR-GAS,2022,5.5845363647486135
Mitigation_CAP21_A25E65,PWR-GAS,2023,5.494536364748613
Mitigation_CAP21_A25E65,PWR-GAS,2024,6.52206124817757
Mitigation_CAP21_A25E65,PWR-GAS,2025,6.52206124817757
Mitigation_CAP21_A25E65,PWR-GAS,2026,6.62866622946589
Mitigation_CAP21_A25E65,PWR-GAS,2027,6.7062956155209
Mitigation_CAP21_A25E65,PWR-GAS,2028,6.80102751227029
Mitigation_CAP21_A25E65,PWR-GAS,2029,6.80102751227029
Mitigation_CAP21_A25E65,PWR-GAS,2030,6.28902751227029
Mitigation_CAP21_A25E65,PWR-GAS,2031,6.28902751227029
Mitigation_CAP21_A25E65,PWR-GAS,2032,5.54202751227029
Mitigation_CAP21_A25E65,PWR-GAS,2033,5.54202751227029
Mitigation_CAP21_A25E65,PWR-GAS,2034,5.54202751227029
Mitigation_CAP21_A25E65,PWR-GAS,2035,5.54202751227029
Mitigation_CAP21_A25E65,PWR-GAS,2036,5.13802751227029
Mitigation_CAP21_A25E65,PWR-GAS,2037,4.73002751227029
Mitigation_CAP21_A25E65,PWR-GAS,2038,4.135027512270289
Mitigation_CAP21_A25E65,PWR-GAS,2039,4.135027512270289
Mitigation_CAP21_A25E65,PWR-GAS,2040,2.68502751227029
Mitigation_CAP21_A25E65,PWR-GAS,2041,2.68502751227029
Mitigation_CAP21_A25E65,PWR-GAS,2042,2.58102751227029
Mitigation_CAP21_A25E65,PWR-GAS,2043,2.58102751227029
Mitigation_CAP21_A25E65,PWR-GAS,2044,2.58102751227029
Mitigation_CAP21_A25E65,PWR-GAS,2045,2.56902751227029
Mitigation_CAP21_A25E65,PWR-GAS,2046,2.56902751227029
Mitigation_CAP21_A25E65,PWR-GAS,2047,2.56902751227029
Mitigation_CAP21_A25E65,PWR-GAS,2048,2.56902751227029
Mitigation_CAP21_A25E65,PWR-GAS,2049,2.13802751227029
Mitigation_CAP21_A25E65,PWR-GAS,2050,2.13802751227029
