scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2018,39.85750510397486
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2019,39.217174784198406
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2020,44.23840964479695
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2021,45.6593838675725
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2022,47.08035809034804
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2023,48.50133231312369
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2024,49.030255681452694
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2025,46.47238540014606
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2026,40.3190459513164
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2027,36.08657641644207
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2028,31.74179300719711
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2029,27.39596412818151
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2030,49.12160134778115
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2031,33.22335048216469
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2032,28.93213494229722
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2033,39.08883514588549
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2034,49.90611770541064
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2035,55.84913186088157
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2036,62.250070049823314
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2037,62.93786578508868
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2038,63.62566152035392
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2039,64.31345725561917
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2040,65.00125299088447
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2041,65.68904872614976
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2042,66.37684446141513
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2043,67.06464019668044
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2044,67.75243593194574
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2045,67.75243593194568
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2046,69.12802740247623
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2047,69.81582313774156
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2048,69.81582313774155
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2049,49.90611770541055
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-CK,2050,46.69420975178257
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2018,6718.028141946981
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2019,7286.787679868219
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2020,7036.671515221646
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2021,6348.673514356709
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2022,5931.773386962731
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2023,5542.103669944354
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2024,4948.696756029046
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2025,3941.5267240963476
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2026,3238.606770900669
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2027,2876.1420908711784
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2028,2552.5070278286425
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2029,2241.8077489564057
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2030,1945.4574959957617
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2031,1680.4805179785865
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2032,1259.6911661671295
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2033,1121.5633299569397
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2034,1154.6972102667867
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2035,1721.616025262816
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2036,1917.940325411085
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2037,1859.8221668107776
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2038,1839.982470074256
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2039,1516.9171274847972
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2040,1265.127611159591
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2041,1297.4941130214397
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2042,1325.044037017538
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2043,1316.6295286842499
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2044,1128.5219132593613
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2045,1129.674355372327
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2046,1176.1450124489704
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2047,1176.8018620456955
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2048,1047.637741422406
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2049,780.4366203445577
Mitigation_CAP21_A25E65,RSD_BLD-XXX_NRGSRV-WS,2050,512.2981466205523
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2018,39.85750510397486
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2019,39.217174784198406
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2020,44.23840964479695
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2021,45.6593838675725
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2022,45.30151769711943
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2023,44.461925636952486
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2024,45.4671555185493
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2025,47.814074085065194
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2026,28.0483076848818
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2027,23.81583815000746
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2028,19.47103424552989
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2029,15.125225861746848
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2030,49.12160134778105
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2031,20.95261221573003
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2032,23.73176431394635
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2033,33.888464517534544
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2034,44.70574707705978
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2035,49.906117705410566
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2036,59.97764320411386
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2037,62.937865785088476
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2038,63.62566152035377
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2039,64.31345725561907
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2040,65.00125299088438
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2041,65.68904872614966
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2042,66.37684446141495
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2043,67.06464019668033
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2044,67.75243593194564
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2045,67.75243593194568
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2046,69.12802740247623
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2047,69.81582313774156
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2048,58.92684211797792
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2049,49.9061177054106
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-CK,2050,49.90611770541056
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2018,6718.028141946981
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2019,7286.787679868219
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2020,7036.671515221646
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2021,6278.048997770062
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2022,5781.584841345924
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2023,5427.352291782681
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2024,4926.260633184207
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2025,3890.2295226316137
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2026,3170.8079864573097
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2027,2811.6831153740086
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2028,2489.3672932809104
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2029,2188.4769270150036
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2030,1920.820462394174
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2031,1469.375056863137
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2032,1060.4528067259369
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2033,953.8157596059252
Mitigation_CAP21_A25E65-BioImp,RSD_BLD-XXX_NRGSRV-WS,2034,892.1601070860453
