scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,RSDAHT,2018,0.2406776187395104
Mitigation_CAP21_A25E65,RSDAHT,2019,0.228643737802535
Mitigation_CAP21_A25E65,RSDAHT,2020,0.2166098568655592
Mitigation_CAP21_A25E65,RSDAHT,2021,1.1254951480774291
Mitigation_CAP21_A25E65,RSDAHT,2022,2.644511598015421
Mitigation_CAP21_A25E65,RSDAHT,2023,4.189971413714251
Mitigation_CAP21_A25E65,RSDAHT,2024,5.752104931756169
Mitigation_CAP21_A25E65,RSDAHT,2025,7.316568500759315
Mitigation_CAP21_A25E65,RSDAHT,2026,8.902650110682606
Mitigation_CAP21_A25E65,RSDAHT,2027,10.50203474047727
Mitigation_CAP21_A25E65,RSDAHT,2028,12.132484614000287
Mitigation_CAP21_A25E65,RSDAHT,2029,13.77605643900466
Mitigation_CAP21_A25E65,RSDAHT,2030,15.426832759476538
Mitigation_CAP21_A25E65,RSDAHT,2031,15.586190933609783
Mitigation_CAP21_A25E65,RSDAHT,2032,15.574157052672808
Mitigation_CAP21_A25E65,RSDAHT,2033,15.562123171735832
Mitigation_CAP21_A25E65,RSDAHT,2034,15.550089290798857
Mitigation_CAP21_A25E65,RSDAHT,2035,15.538055409861881
Mitigation_CAP21_A25E65,RSDAHT,2036,15.526021528924906
Mitigation_CAP21_A25E65,RSDAHT,2037,15.51398764798793
Mitigation_CAP21_A25E65,RSDAHT,2038,15.501953767050956
Mitigation_CAP21_A25E65,RSDAHT,2039,15.501953767050956
Mitigation_CAP21_A25E65,RSDAHT,2040,15.501953767050956
Mitigation_CAP21_A25E65,RSDAHT,2041,14.58103459490211
Mitigation_CAP21_A25E65,RSDAHT,2042,13.323467268407576
Mitigation_CAP21_A25E65,RSDAHT,2043,12.19078503078052
Mitigation_CAP21_A25E65,RSDAHT,2044,11.035619154219395
Mitigation_CAP21_A25E65,RSDAHT,2045,9.882828555295207
Mitigation_CAP21_A25E65,RSDAHT,2046,9.12848681080526
Mitigation_CAP21_A25E65,RSDAHT,2047,7.947783570096795
Mitigation_CAP21_A25E65,RSDAHT,2048,6.315997940261513
Mitigation_CAP21_A25E65,RSDAHT,2049,4.670397528208096
Mitigation_CAP21_A25E65,RSDAHT,2050,3.0169060338927984
Mitigation_CAP21_A25E65,RSDAHT2,2018,0.2631637399393766
Mitigation_CAP21_A25E65,RSDAHT2,2019,0.2500055529424071
Mitigation_CAP21_A25E65,RSDAHT2,2020,0.2368473659454384
Mitigation_CAP21_A25E65,RSDAHT2,2021,0.22368917894847
Mitigation_CAP21_A25E65,RSDAHT2,2022,0.2105309919515006
Mitigation_CAP21_A25E65,RSDAHT2,2023,0.1973728049545314
Mitigation_CAP21_A25E65,RSDAHT2,2024,0.1842146179575623
Mitigation_CAP21_A25E65,RSDAHT2,2025,0.1710564309605943
Mitigation_CAP21_A25E65,RSDAHT2,2026,0.1578982439636252
Mitigation_CAP21_A25E65,RSDAHT2,2027,0.1447400569666564
Mitigation_CAP21_A25E65,RSDAHT2,2028,0.13158186996968702
Mitigation_CAP21_A25E65,RSDAHT2,2029,0.1184236829727177
Mitigation_CAP21_A25E65,RSDAHT2,2030,0.1052654959757496
Mitigation_CAP21_A25E65,RSDAHT2,2031,0.4992890348593366
Mitigation_CAP21_A25E65,RSDAHT2,2032,0.5558731163350497
Mitigation_CAP21_A25E65,RSDAHT2,2033,1.1481223806034258
Mitigation_CAP21_A25E65,RSDAHT2,2034,1.7414855813977181
Mitigation_CAP21_A25E65,RSDAHT2,2035,1.728327394400749
Mitigation_CAP21_A25E65,RSDAHT2,2036,1.71516920740378
