scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,FIX,2018,2438.08974303725
Mitigation_CAP21_A25E65,FIX,2019,2505.39227576076
Mitigation_CAP21_A25E65,FIX,2020,2661.38127087969
Mitigation_CAP21_A25E65,FIX,2021,2647.16150252722
Mitigation_CAP21_A25E65,FIX,2022,2779.36020355239
Mitigation_CAP21_A25E65,FIX,2023,2969.61927981298
Mitigation_CAP21_A25E65,FIX,2024,3255.67296585405
Mitigation_CAP21_A25E65,FIX,2025,3555.45719139854
Mitigation_CAP21_A25E65,FIX,2026,4089.96266283742
Mitigation_CAP21_A25E65,FIX,2027,4866.82772279554
Mitigation_CAP21_A25E65,FIX,2028,6161.58587410731
Mitigation_CAP21_A25E65,FIX,2029,6395.08816488882
Mitigation_CAP21_A25E65,FIX,2030,6325.33431747707
Mitigation_CAP21_A25E65,FIX,2031,6212.61281289702
Mitigation_CAP21_A25E65,FIX,2032,5974.08970259739
Mitigation_CAP21_A25E65,FIX,2033,5877.45120576732
Mitigation_CAP21_A25E65,FIX,2034,6096.5224838942
Mitigation_CAP21_A25E65,FIX,2035,6277.22578742126
Mitigation_CAP21_A25E65,FIX,2036,6415.27323353477
Mitigation_CAP21_A25E65,FIX,2037,6505.3096256217
Mitigation_CAP21_A25E65,FIX,2038,6605.78791835362
Mitigation_CAP21_A25E65,FIX,2039,6703.45110370153
Mitigation_CAP21_A25E65,FIX,2040,6773.57973056321
Mitigation_CAP21_A25E65,FIX,2041,6818.34033234792
Mitigation_CAP21_A25E65,FIX,2042,6905.25215703898
Mitigation_CAP21_A25E65,FIX,2043,7012.36601697068
Mitigation_CAP21_A25E65,FIX,2044,7117.43590031228
Mitigation_CAP21_A25E65,FIX,2045,7216.65840981012
Mitigation_CAP21_A25E65,FIX,2046,7261.04550960708
Mitigation_CAP21_A25E65,FIX,2047,7348.18440967489
Mitigation_CAP21_A25E65,FIX,2048,7433.41852768386
Mitigation_CAP21_A25E65,FIX,2049,7493.63957555746
Mitigation_CAP21_A25E65,FIX,2050,7619.18820362655
Mitigation_CAP21_A25E65,INV,2018,2.72508516368637
Mitigation_CAP21_A25E65,INV,2019,201.988135782383
Mitigation_CAP21_A25E65,INV,2020,508.313942889231
Mitigation_CAP21_A25E65,INV,2021,877.157737384991
Mitigation_CAP21_A25E65,INV,2022,1442.02271892791
Mitigation_CAP21_A25E65,INV,2023,2155.17089237129
Mitigation_CAP21_A25E65,INV,2024,3162.22473822456
Mitigation_CAP21_A25E65,INV,2025,4254.03841265214
Mitigation_CAP21_A25E65,INV,2026,5736.97186429415
Mitigation_CAP21_A25E65,INV,2027,7325.67251561702
Mitigation_CAP21_A25E65,INV,2028,9442.64037279683
Mitigation_CAP21_A25E65,INV,2029,10249.652760361
Mitigation_CAP21_A25E65,INV,2030,10751.7189053441
Mitigation_CAP21_A25E65,INV,2031,11176.341068719
Mitigation_CAP21_A25E65,INV,2032,11609.7136542871
Mitigation_CAP21_A25E65,INV,2033,12171.1082029158
Mitigation_CAP21_A25E65,INV,2034,12924.0762983083
Mitigation_CAP21_A25E65,INV,2035,13618.4829918322
Mitigation_CAP21_A25E65,INV,2036,14183.2829519042
Mitigation_CAP21_A25E65,INV,2037,14612.7554648255
Mitigation_CAP21_A25E65,INV,2038,15071.3851682007
Mitigation_CAP21_A25E65,INV,2039,15541.2197154445
Mitigation_CAP21_A25E65,INV,2040,15941.1835158361
Mitigation_CAP21_A25E65,INV,2041,16280.3646063034
Mitigation_CAP21_A25E65,INV,2042,16658.2758978426
Mitigation_CAP21_A25E65,INV,2043,17079.6152927533
Mitigation_CAP21_A25E65,INV,2044,17467.6168282469
Mitigation_CAP21_A25E65,INV,2045,17819.9889262441
Mitigation_CAP21_A25E65,INV,2046,17947.7907217638
Mitigation_CAP21_A25E65,INV,2047,18069.284110523
Mitigation_CAP21_A25E65,INV,2048,18293.1804293539
Mitigation_CAP21_A25E65,INV,2049,18357.0009739346
Mitigation_CAP21_A25E65,INV,2050,18522.9186889824
Mitigation_CAP21_A25E65,VAR,2018,5741.99302445983
Mitigation_CAP21_A25E65,VAR,2019,5443.28558517417
Mitigation_CAP21_A25E65,VAR,2020,5450.28001899534
Mitigation_CAP21_A25E65,VAR,2021,6110.67479249038
Mitigation_CAP21_A25E65,VAR,2022,6153.94629600711
Mitigation_CAP21_A25E65,VAR,2023,6063.73792910498
Mitigation_CAP21_A25E65,VAR,2024,5830.01717512866
Mitigation_CAP21_A25E65,VAR,2025,5687.08113755388
Mitigation_CAP21_A25E65,VAR,2026,5746.84483360996
Mitigation_CAP21_A25E65,VAR,2027,5872.15783305408
Mitigation_CAP21_A25E65,VAR,2028,4811.25301049895
Mitigation_CAP21_A25E65,VAR,2029,6516.17322710934
Mitigation_CAP21_A25E65,VAR,2030,4884.34569779315
Mitigation_CAP21_A25E65,VAR,2031,4800.62145203473
Mitigation_CAP21_A25E65,VAR,2032,4828.86772590755
Mitigation_CAP21_A25E65,VAR,2033,4762.3395250926
Mitigation_CAP21_A25E65,VAR,2034,4527.27959170152
Mitigation_CAP21_A25E65,VAR,2035,4205.35746636221
Mitigation_CAP21_A25E65,VAR,2036,4176.04796632282
Mitigation_CAP21_A25E65,VAR,2037,4248.66889962878
Mitigation_CAP21_A25E65,VAR,2038,4345.08215462456
Mitigation_CAP21_A25E65,VAR,2039,4276.86541858065
Mitigation_CAP21_A25E65,VAR,2040,4356.42578351152
Mitigation_CAP21_A25E65,VAR,2041,4470.12453594117
Mitigation_CAP21_A25E65,VAR,2042,4489.86530521408
Mitigation_CAP21_A25E65,VAR,2043,4404.27037488649
Mitigation_CAP21_A25E65,VAR,2044,4415.05189664334
Mitigation_CAP21_A25E65,VAR,2045,4445.68590326851
Mitigation_CAP21_A25E65,VAR,2046,4401.22089769575
Mitigation_CAP21_A25E65,VAR,2047,4284.94449139129
Mitigation_CAP21_A25E65,VAR,2048,4184.33101829229
Mitigation_CAP21_A25E65,VAR,2049,4158.00351643808
Mitigation_CAP21_A25E65,VAR,2050,4053.26070793531
Mitigation_CAP21_A25E65-BioImp,FIX,2018,2438.08974303725
Mitigation_CAP21_A25E65-BioImp,FIX,2019,2505.39227576076
Mitigation_CAP21_A25E65-BioImp,FIX,2020,2661.38127087969
Mitigation_CAP21_A25E65-BioImp,FIX,2021,2645.18140073522
Mitigation_CAP21_A25E65-BioImp,FIX,2022,2758.73521608331
Mitigation_CAP21_A25E65-BioImp,FIX,2023,2933.03244752961
Mitigation_CAP21_A25E65-BioImp,FIX,2024,3191.36014276353
