scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,AGRCO2N,2027,275.85067997879
Mitigation_CAP21_A25E65,AGRCO2N,2029,293.747206682003
Mitigation_CAP21_A25E65,AGRCO2N,2030,52.688844997394
Mitigation_CAP21_A25E65,INDCO2P,2029,605.261170499209
Mitigation_CAP21_A25E65-BioImp,AGRCO2N,2027,345.866650464538
Mitigation_CAP21_A25E65-BioImp,AGRCO2N,2028,324.776818674079
Mitigation_CAP21_A25E65-BioImp,AGRCO2N,2029,303.816846063368
Mitigation_CAP21_A25E65-BioImp,AGRCO2N,2030,109.442490445062
Mitigation_CAP21_A25E65-BioImp,INDCO2P,2027,253.95478440286
Mitigation_CAP21_A25E65-BioImp,INDCO2P,2028,965.818793209112
Mitigation_CAP21_A25E65-BioImp,INDCO2P,2029,810.486020656107
Mitigation_CAP21_A25E65-EA,AGRCO2N,2023,172.354328164666
Mitigation_CAP21_A25E65-EA,AGRCO2N,2024,401.971682992408
Mitigation_CAP21_A25E65-EA,AGRCO2N,2025,484.59951796448
Mitigation_CAP21_A25E65-EA,AGRCO2N,2026,357.215608093935
Mitigation_CAP21_A25E65-EA,AGRCO2N,2027,285.342366691451
Mitigation_CAP21_A25E65-EA,AGRCO2N,2028,313.268344541568
Mitigation_CAP21_A25E65-EA,AGRCO2N,2029,291.667190274654
Mitigation_CAP21_A25E65-EA,AGRCO2N,2031,5.37648146181513
Mitigation_CAP21_A25E65-EA,INDCO2P,2024,736.123871040521
Mitigation_CAP21_A25E65-EA,INDCO2P,2025,1677.593462146
Mitigation_CAP21_A25E65-EA,INDCO2P,2026,1454.34903952959
Mitigation_CAP21_A25E65-EA,INDCO2P,2028,617.001617533733
Mitigation_CAP21_A25E65-EA,INDCO2P,2029,1148.07610076183
Mitigation_CAP21_A25E65-H2Imp,AGRCO2N,2027,346.593530701072
Mitigation_CAP21_A25E65-H2Imp,AGRCO2N,2028,325.546904419181
Mitigation_CAP21_A25E65-H2Imp,AGRCO2N,2029,304.6298362672
Mitigation_CAP21_A25E65-H2Imp,AGRCO2N,2030,362.040163606305
Mitigation_CAP21_A25E65-H2Imp,INDCO2N,2030,103.090745783031
Mitigation_CAP21_A25E65-H2Imp,INDCO2P,2027,135.634464321437
Mitigation_CAP21_A25E65-H2Imp,INDCO2P,2028,1134.94959271429
Mitigation_CAP21_A25E65-H2Imp,INDCO2P,2029,2393.2727679878
Mitigation_CAP21_A25E65-H2Imp,INDCO2P,2030,179.983143184706
Mitigation_CAP21_A25E65-LA,AGRCO2N,2030,286.109034009354
Mitigation_CAP21_A25E65-LA,AGRCO2N,2031,266.289121390228
Mitigation_CAP21_A25E65-LA,AGRCO2N,2032,27.1000382683276
Mitigation_CAP21_A25E65-LA,INDCO2P,2030,179.983143184706
Mitigation_CAP21_A25E65-LA,INDCO2P,2031,185.89987564125
Mitigation_CAP21_A25E65-LA,RSDCO2,2030,2029.88062496387
Mitigation_CAP21_A25E65-LED,AGRCO2N,2029,324.6615771194
Mitigation_CAP21_A25E65-earlyCCS,AGRCO2N,2028,10.319275913222
Mitigation_CAP21_A25E65-earlyCCS,AGRCO2N,2029,169.278939856244
Mitigation_CAP21_A25E65-highREN,AGRCO2N,2027,293.968239814675
Mitigation_CAP21_A25E65-highREN,AGRCO2N,2029,304.101938546822
Mitigation_CAP21_A25E65-highREN,INDCO2P,2029,844.306550993494
Mitigation_CAP21_A25E65-lowBio,AGRCO2N,2026,391.598986887384
Mitigation_CAP21_A25E65-lowBio,AGRCO2N,2027,413.564387359967
Mitigation_CAP21_A25E65-lowBio,AGRCO2N,2028,292.04703454445
