scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,AGRCO2N,2018,646.395099676456
Mitigation_CAP21_A25E65,AGRCO2N,2019,650.157918389797
Mitigation_CAP21_A25E65,AGRCO2N,2020,788.228071633863
Mitigation_CAP21_A25E65,AGRCO2N,2021,640.891410795922
Mitigation_CAP21_A25E65,AGRCO2N,2022,639.152033677467
Mitigation_CAP21_A25E65,AGRCO2N,2023,637.479871321527
Mitigation_CAP21_A25E65,AGRCO2N,2024,636.316316965528
Mitigation_CAP21_A25E65,AGRCO2N,2025,646.597927262111
Mitigation_CAP21_A25E65,AGRCO2N,2026,636.153580914421
Mitigation_CAP21_A25E65,AGRCO2N,2027,61.0128830920175
Mitigation_CAP21_A25E65,AGRCO2N,2028,315.238590895494
Mitigation_CAP21_A25E65,AGRCO2N,2030,227.027362783188
Mitigation_CAP21_A25E65,AGRCO2N,2031,261.422478942197
Mitigation_CAP21_A25E65,AGRCO2N,2032,235.953151293038
Mitigation_CAP21_A25E65,AGRCO2N,2033,216.389809549866
Mitigation_CAP21_A25E65,AGRCO2N,2034,193.920664664103
Mitigation_CAP21_A25E65,AGRCO2N,2035,614.628639089985
Mitigation_CAP21_A25E65,AGRCO2N,2036,643.607713881018
Mitigation_CAP21_A25E65,AGRCO2N,2037,611.567368401676
Mitigation_CAP21_A25E65,AGRCO2N,2038,615.646801942399
Mitigation_CAP21_A25E65,AGRCO2N,2039,609.622461516544
Mitigation_CAP21_A25E65,AGRCO2N,2040,611.980608090668
Mitigation_CAP21_A25E65,AGRCO2N,2041,616.969991729718
Mitigation_CAP21_A25E65,AGRCO2N,2042,616.327047625622
Mitigation_CAP21_A25E65,AGRCO2N,2043,612.280836421924
Mitigation_CAP21_A25E65,AGRCO2N,2044,607.944990564948
Mitigation_CAP21_A25E65,AGRCO2N,2045,606.997246868962
Mitigation_CAP21_A25E65,AGRCO2N,2046,673.306831862491
Mitigation_CAP21_A25E65,AGRCO2N,2047,679.507296436971
Mitigation_CAP21_A25E65,AGRCO2N,2048,678.9564288377
Mitigation_CAP21_A25E65,AGRCO2N,2049,678.395257136443
Mitigation_CAP21_A25E65,AGRCO2N,2050,677.823743027181
Mitigation_CAP21_A25E65,INDCO2N,2018,3900.00174206589
Mitigation_CAP21_A25E65,INDCO2N,2019,3915.72753186696
Mitigation_CAP21_A25E65,INDCO2N,2020,3785.54049273497
Mitigation_CAP21_A25E65,INDCO2N,2021,3861.45329822855
Mitigation_CAP21_A25E65,INDCO2N,2022,3920.80991024053
Mitigation_CAP21_A25E65,INDCO2N,2023,3979.72363252249
Mitigation_CAP21_A25E65,INDCO2N,2024,4038.2751857187
Mitigation_CAP21_A25E65,INDCO2N,2025,3799.92748853615
Mitigation_CAP21_A25E65,INDCO2N,2026,3548.52402390273
Mitigation_CAP21_A25E65,INDCO2N,2027,3481.49496587504
Mitigation_CAP21_A25E65,INDCO2N,2028,3412.82841462346
Mitigation_CAP21_A25E65,INDCO2N,2029,3342.63956723275
Mitigation_CAP21_A25E65,INDCO2N,2030,3270.91656101952
Mitigation_CAP21_A25E65,INDCO2N,2031,3157.23267225373
Mitigation_CAP21_A25E65,INDCO2N,2032,3048.27261492571
Mitigation_CAP21_A25E65,INDCO2N,2033,2936.50926473088
Mitigation_CAP21_A25E65,INDCO2N,2034,2822.05005089375
Mitigation_CAP21_A25E65,INDCO2N,2035,2720.9925880881
Mitigation_CAP21_A25E65,INDCO2N,2036,2602.02224882253
Mitigation_CAP21_A25E65,INDCO2N,2037,2478.83383367486
Mitigation_CAP21_A25E65,INDCO2N,2038,2353.07371211655
Mitigation_CAP21_A25E65,INDCO2N,2039,2239.28552658149
Mitigation_CAP21_A25E65,INDCO2N,2040,2147.02637937929
Mitigation_CAP21_A25E65,INDCO2N,2041,2052.39133501349
Mitigation_CAP21_A25E65,INDCO2N,2042,1954.56813247059
Mitigation_CAP21_A25E65,INDCO2N,2043,1902.00022327783
Mitigation_CAP21_A25E65,INDCO2N,2044,1926.216877548
Mitigation_CAP21_A25E65,INDCO2N,2045,1816.03026985824
Mitigation_CAP21_A25E65,INDCO2N,2046,1478.43465196805
Mitigation_CAP21_A25E65,INDCO2N,2047,1568.51086391547
Mitigation_CAP21_A25E65,INDCO2N,2048,1528.8122014136
Mitigation_CAP21_A25E65,INDCO2N,2049,1583.17108202399
Mitigation_CAP21_A25E65,INDCO2N,2050,1583.74693397828
Mitigation_CAP21_A25E65,INDCO2P,2018,2093.31840672407
Mitigation_CAP21_A25E65,INDCO2P,2019,1922.7029121404
Mitigation_CAP21_A25E65,INDCO2P,2020,2054.0969226579
Mitigation_CAP21_A25E65,INDCO2P,2021,2369.02868008262
Mitigation_CAP21_A25E65,INDCO2P,2022,2508.74396794781
Mitigation_CAP21_A25E65,INDCO2P,2023,2538.711579667
Mitigation_CAP21_A25E65,INDCO2P,2024,2571.0908700528
Mitigation_CAP21_A25E65,INDCO2P,2025,2624.33877822624
Mitigation_CAP21_A25E65,INDCO2P,2026,2687.36773126368
Mitigation_CAP21_A25E65,INDCO2P,2027,2654.33295937077
Mitigation_CAP21_A25E65,INDCO2P,2028,2626.480111736
Mitigation_CAP21_A25E65,INDCO2P,2029,1993.48136868915
Mitigation_CAP21_A25E65,INDCO2P,2030,179.983143184706
Mitigation_CAP21_A25E65,INDCO2P,2031,185.89987564125
Mitigation_CAP21_A25E65,INDCO2P,2032,180.691914775831
Mitigation_CAP21_A25E65,INDCO2P,2033,180.504204784265
Mitigation_CAP21_A25E65,INDCO2P,2034,180.329875465922
Mitigation_CAP21_A25E65,INDCO2P,2035,180.063835855361
Mitigation_CAP21_A25E65,INDCO2P,2036,179.75177466522
Mitigation_CAP21_A25E65,INDCO2P,2037,179.009388715454
Mitigation_CAP21_A25E65,INDCO2P,2038,178.239525390566
Mitigation_CAP21_A25E65,INDCO2P,2039,177.393957326117
Mitigation_CAP21_A25E65,INDCO2P,2040,176.508330452401
Mitigation_CAP21_A25E65,INDCO2P,2041,203.024085917554
Mitigation_CAP21_A25E65,INDCO2P,2042,229.550718852493
Mitigation_CAP21_A25E65,INDCO2P,2043,256.349382021505
Mitigation_CAP21_A25E65,INDCO2P,2044,283.422195882084
Mitigation_CAP21_A25E65,INDCO2P,2045,310.771295634042
Mitigation_CAP21_A25E65,INDCO2P,2046,302.7003985766
Mitigation_CAP21_A25E65,INDCO2P,2047,294.541148694418
Mitigation_CAP21_A25E65,INDCO2P,2048,286.287922481563
Mitigation_CAP21_A25E65,INDCO2P,2049,277.939958280377
Mitigation_CAP21_A25E65,INDCO2P,2050,269.496489027095
Mitigation_CAP21_A25E65,PWRCO2N,2018,11915.3938424288
Mitigation_CAP21_A25E65,PWRCO2N,2019,11769.9802697814
Mitigation_CAP21_A25E65,PWRCO2N,2020,8139.27485337545
Mitigation_CAP21_A25E65,PWRCO2N,2021,8220.8348254518
Mitigation_CAP21_A25E65,PWRCO2N,2022,9286.9721394183
Mitigation_CAP21_A25E65,PWRCO2N,2023,9669.67686918865
Mitigation_CAP21_A25E65,PWRCO2N,2024,6440.48740477873
Mitigation_CAP21_A25E65,PWRCO2N,2025,4921.81677615762
Mitigation_CAP21_A25E65,PWRCO2N,2026,5187.05105148625
Mitigation_CAP21_A25E65,PWRCO2N,2027,5374.32857474911
Mitigation_CAP21_A25E65,PWRCO2N,2028,5510.80048134272
Mitigation_CAP21_A25E65,PWRCO2N,2029,5369.45789084295
Mitigation_CAP21_A25E65,PWRCO2N,2030,5030.6812517603
Mitigation_CAP21_A25E65,PWRCO2N,2031,5032.47458872228
Mitigation_CAP21_A25E65,PWRCO2N,2032,4949.917399797
Mitigation_CAP21_A25E65,PWRCO2N,2033,4800.97049624077
Mitigation_CAP21_A25E65,PWRCO2N,2034,4550.98140104821
Mitigation_CAP21_A25E65,PWRCO2N,2035,3286.42548471364
Mitigation_CAP21_A25E65,PWRCO2N,2036,2127.41851209572
Mitigation_CAP21_A25E65,PWRCO2N,2037,1423.92545331552
Mitigation_CAP21_A25E65,PWRCO2N,2038,413.429028297483
Mitigation_CAP21_A25E65,PWRCO2N,2039,164.622946134372
