scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2019,6.40110367320241
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2020,709.0584436571434
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2021,250.934766740381
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2022,781.7589546363195
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2023,884.6424727813181
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2024,983.3727104133469
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2025,1120.1221233433557
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2026,1572.6051268223616
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2027,2311.364719672995
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2028,2078.7456925236825
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2029,2839.029827154188
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2030,1187.302488694735
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2031,1627.8912732675988
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2032,2024.8261615570907
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2033,1669.51345187896
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2034,1404.823143881687
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2035,2318.921961043518
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2036,1948.5709901869623
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2037,1707.145558180011
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2038,1663.2556529618137
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2039,1720.9701733036195
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2040,1963.919825798007
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2041,1826.6409356134736
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2042,1899.5733400850243
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2043,1890.9244738887255
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2044,1841.7082697003439
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2045,1874.6148285818322
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2046,1962.6209055026118
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2047,2108.7011938849573
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2048,2087.2587147233776
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2049,2212.528644636496
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2050,1872.6069041885335
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2019,162.46363217963403
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2020,1961.8905433644659
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2021,1433.049432725239
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2022,2259.852864672882
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2023,2736.8664800088286
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2024,3418.0185950307487
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2025,3564.2441441721994
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2026,7145.7635096123295
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2027,12732.365571789875
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2028,22461.612474321915
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2029,3060.1438680620945
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2030,29.714374170981287
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2031,27.12512259250541
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2032,22.178102280945232
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2033,3011.27720799436
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2034,7937.392472853905
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2035,7114.968146738033
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2036,5438.008476013996
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2037,3998.1954508199124
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2038,3336.2268957785855
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2039,3053.614551736484
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2040,3013.334612900743
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2041,3936.942978009568
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2042,3409.3320309926066
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2043,4234.854280115897
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2044,3515.1490584264066
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2045,4646.402101519346
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2046,2870.232426698881
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2047,2810.0180549038005
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2048,2927.5806803556616
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2049,3355.9037027934355
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2050,3746.4905251839027
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2019,6.40110367320241
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2020,709.0584436571434
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2021,250.93476674038115
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2022,781.7589546363193
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2023,884.6424727813181
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2024,983.3727104133469
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2025,1123.9082990503985
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2026,1572.6051268223616
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2027,2311.364719672995
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2028,2476.6381850017483
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2029,3446.0242327415617
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2030,1321.2197052026318
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2031,1546.641210569349
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2032,1933.6222912936378
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2033,281.04883371606405
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2034,1683.0905064606832
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2035,2341.4007186962763
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2036,1963.833515995283
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2037,1739.9831673272565
Mitigation_CAP21_A25E65-BioImp,DMD_TRA-F-LAND,2038,1734.686532758466
