scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2018,3160.751405993703
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2019,3461.1577143880395
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2020,3314.968621113048
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2021,3578.315647111367
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2022,3622.848075328459
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2023,3635.075685495114
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2024,3663.0608033575572
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2025,3738.5252351193394
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2026,2830.505748282199
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2027,2434.618991007606
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2028,2170.5424949949283
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2029,1700.2147186865898
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2030,1545.5612037570568
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2031,1359.8753064088505
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2032,1039.5194769161476
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2033,814.9295675229494
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2034,1085.2919428065647
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2035,1268.1895960485826
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2036,1612.871111126643
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2037,1722.4216655780565
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2038,1992.4238461022596
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2039,2006.6693143728855
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2040,1933.5457077260758
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2041,1901.5791246061654
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2042,1853.5011282868763
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2043,1677.1672989898716
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2044,1469.8993933599018
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2045,1262.6385045129489
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2046,1063.738155748589
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2047,880.625847609451
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2048,728.4661075058391
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2049,608.773679304247
Mitigation_CAP21_A25E65,DMD_TRA-F-LAND,2050,529.209783869995
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2018,6570.225397241448
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2019,6826.764561564207
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2020,4881.071537569616
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2021,7005.480385925773
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2022,6849.548025945242
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2023,6583.333936230563
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2024,6219.191540883097
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2025,5496.90960839335
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2026,4881.383259645867
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2027,3727.629606160982
Mitigation_CAP21_A25E65,DMD_TRA-P-LAND,2028,1593.696954990413
