scenarioName,seriesName,period,value
Mitigation_CAP21_A25E65,TRAPL,2018,27.13157754297358
Mitigation_CAP21_A25E65,TRAPL,2019,27.52133693
Mitigation_CAP21_A25E65,TRAPL,2020,19.90838974
Mitigation_CAP21_A25E65,TRAPL,2021,28.657924176035316
Mitigation_CAP21_A25E65,TRAPL,2022,29.05534295663921
Mitigation_CAP21_A25E65,TRAPL,2023,29.4500206590901
Mitigation_CAP21_A25E65,TRAPL,2024,29.84233249219651
Mitigation_CAP21_A25E65,TRAPL,2025,30.232822469196996
Mitigation_CAP21_A25E65,TRAPL,2026,30.622193671963593
Mitigation_CAP21_A25E65,TRAPL,2027,31.011315317999966
Mitigation_CAP21_A25E65,TRAPL,2028,31.401066237625074
Mitigation_CAP21_A25E65,TRAPL,2029,31.7924368551145
Mitigation_CAP21_A25E65,TRAPL,2030,32.18612810229034
Mitigation_CAP21_A25E65,TRAPL,2031,32.511217477955206
Mitigation_CAP21_A25E65,TRAPL,2032,32.8387942848051
Mitigation_CAP21_A25E65,TRAPL,2033,33.16822413128366
Mitigation_CAP21_A25E65,TRAPL,2034,33.49847320115272
Mitigation_CAP21_A25E65,TRAPL,2035,33.82884805829619
Mitigation_CAP21_A25E65,TRAPL,2036,34.15883271507066
Mitigation_CAP21_A25E65,TRAPL,2037,34.48851557969488
Mitigation_CAP21_A25E65,TRAPL,2038,34.817962322069576
Mitigation_CAP21_A25E65,TRAPL,2039,35.14723876022629
Mitigation_CAP21_A25E65,TRAPL,2040,35.47630107050335
Mitigation_CAP21_A25E65,TRAPL,2041,35.83668360160857
Mitigation_CAP21_A25E65,TRAPL,2042,36.197066123295095
Mitigation_CAP21_A25E65,TRAPL,2043,36.55744866381878
Mitigation_CAP21_A25E65,TRAPL,2044,36.91783119492392
Mitigation_CAP21_A25E65,TRAPL,2045,37.278213726029094
Mitigation_CAP21_A25E65,TRAPL,2046,37.61682383626077
Mitigation_CAP21_A25E65,TRAPL,2047,37.95543394649244
Mitigation_CAP21_A25E65,TRAPL,2048,38.294044056724104
Mitigation_CAP21_A25E65,TRAPL,2049,38.63265416695584
Mitigation_CAP21_A25E65,TRAPL,2050,38.97126427718753
Mitigation_CAP21_A25E65,TRAPM,2018,31.27611854028099
Mitigation_CAP21_A25E65,TRAPM,2019,31.984256430000002
Mitigation_CAP21_A25E65,TRAPM,2020,23.136777270000003
Mitigation_CAP21_A25E65,TRAPM,2021,33.30515512350052
Mitigation_CAP21_A25E65,TRAPM,2022,33.76702019285099
Mitigation_CAP21_A25E65,TRAPM,2023,34.22569968488844
Mitigation_CAP21_A25E65,TRAPM,2024,34.681629653093154
